sweep_type,perturb_param,perturb_factor,scenario_id,scenario_name,seed,N,M,K,L_reg_slack,n_total,Q_condition_number,Q_eigenvalue_min,Q_eigenvalue_max,Q_eigenvalue_count_negative,energy_greedy,objective_raw_greedy,penE_onehot_greedy,penE_reg_greedy,penE_afford_greedy,penE_total_greedy,viol_onehot_y_greedy,viol_onehot_z_greedy,viol_reg_shortfall_greedy,viol_afford_greedy,chosen_premium_band_greedy,chosen_deductible_band_greedy,selected_features_count_greedy,selected_reg_features_count_greedy,onehot_ok_greedy,reg_satisfied_greedy,affordability_satisfied_greedy,is_feasible_greedy,energy_sa_best,objective_raw_sa_best,penE_onehot_sa,penE_reg_sa,penE_afford_sa,penE_total_sa,viol_onehot_y_sa,viol_onehot_z_sa,viol_reg_shortfall_sa,viol_afford_sa,chosen_premium_band_sa,chosen_deductible_band_sa,selected_features_count_sa,selected_reg_features_count_sa,onehot_ok_sa,reg_satisfied_sa,affordability_satisfied_sa,is_feasible_sa,greedy_runtime_sec,sa_runtime_sec,sa_best_found_at_step,sa_convergence_fraction,total_classical_runtime_sec,gap_greedy_to_sa_energy,gap_greedy_to_sa_raw,R_size,Rmin,lambda_risk,affordability_enabled,use_tight_regulation,scale_factor,A_onehot,B_reg,D_afford,qterm_total_greedy_signed,qterm_total_sa_signed,qterm_total_gurobi_signed,gurobi_ran,energy_gurobi,objective_raw_gurobi,penE_onehot_gurobi,penE_reg_gurobi,penE_afford_gurobi,penE_total_gurobi,viol_onehot_y_gurobi,viol_onehot_z_gurobi,viol_reg_shortfall_gurobi,viol_afford_gurobi,chosen_premium_band_gurobi,chosen_deductible_band_gurobi,selected_features_count_gurobi,selected_reg_features_count_gurobi,onehot_ok_gurobi,reg_satisfied_gurobi,affordability_satisfied_gurobi,is_feasible_gurobi,gurobi_status_code,gurobi_status_name,gurobi_mip_gap,gurobi_runtime_sec,gap_sa_to_gurobi_energy,gap_sa_to_gurobi_raw,gurobi_mode,gurobi_time_limit_used
baseline,,1.0,1,S1_cost_only,1010,20,4,5,2,31,26304.205328952725,-1185701.3048851327,4011583.181963232,10,-1483041.937820247,-158.54252857199936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,1,1,1,1,-1483641.937820247,-758.5425285719994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,2,2,1,1,1,1,0.0169686,20.3223724,130,0.00325,20.339341,600.0,600.0,3,2,0.0,0,0,10.0,148288.3395291675,296576.679058335,0.0,-1482883.395291675,-1482883.395291675,-1482883.395291675,1,-1483641.937820247,-758.5425285719994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0095710999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1011,20,4,5,2,31,21112.06591847161,-1075767.0106704703,3639400.802621138,10,-1345923.464426449,-603.5009013850022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,2,2,1,1,1,1,-1346292.1005377686,-972.1370127046148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2,1,1,1,1,0.0153044999999999,20.7571508,111,0.002775,20.7724553,368.6361113195308,368.6361113196126,3,2,0.0,0,0,10.0,134531.9963525064,269063.9927050128,0.0,-1345319.9635250638,-1345319.9635250638,-1345319.9635250638,1,-1346292.1005377686,-972.1370127046148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0067517999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1012,20,4,5,2,31,26963.949156985032,-1129031.5810185573,3821732.154335983,10,-1412100.719239741,588.8875981818101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,2,1,1,1,1,-1412100.719239741,588.8875981818101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2,1,1,1,1,0.0202674999999999,20.676833,138,0.00345,20.6971005,0.0,0.0,3,2,0.0,0,0,10.0,141268.96068379228,282537.9213675845,0.0,-1412689.6068379227,-1412689.6068379227,-1412689.6068379227,1,-1412100.719239741,588.8875981818101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0067859,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1013,20,4,5,2,31,33786.55183579875,-1204403.0907534177,4075311.515865206,10,-1506021.248540038,414.5864441799458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,2,1,1,1,1,-1506821.248540038,-385.41355582005417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2,1,1,1,1,0.0189126,24.0697588,172,0.0043,24.0886714,800.0,800.0,3,2,0.0,0,0,10.0,150643.5834984218,301287.1669968436,0.0,-1506435.834984218,-1506435.834984218,-1506435.834984218,1,-1506821.248540038,-385.41355582005417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0071053999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1014,20,4,5,2,31,27687.037613624823,-964941.45190494,3271420.9639258254,10,-1205471.885158862,3773.555023831288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,2,1,1,1,1,-1206271.885158862,2973.555023831288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,2,1,1,1,1,0.0153286999999999,21.105175,63,0.001575,21.1205037,800.0,800.0,3,2,0.0,0,0,10.0,120924.54401826931,241849.08803653863,0.0,-1209245.440182693,-1209245.440182693,-1209245.440182693,1,-1206271.885158862,2973.555023831288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0095269,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1015,20,4,5,2,31,26127.185335818594,-1096796.926023346,3712778.307462339,10,-1371836.161257156,582.0854863114496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,2,1,1,1,1,-1371836.161257156,582.0854863114496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2,1,1,1,1,0.0173030999999999,20.3434939,56,0.0014,20.360797,0.0,0.0,3,2,0.0,0,0,10.0,137241.82467434675,274483.6493486935,0.0,-1372418.2467434674,-1372418.2467434674,-1372418.2467434674,1,-1371836.161257156,582.0854863114496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0068366999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1016,20,4,5,2,31,10431.34372804012,-1096073.5607444064,3707518.531466345,10,-1367780.5618353928,2699.5646679958727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,2,2,1,1,1,1,-1371853.3393612942,-1373.212857905566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,2,2,1,1,1,1,0.0165122999999999,20.5606658,147,0.003675,20.5771781,4072.7775259013288,4072.777525901439,3,2,0.0,0,0,10.0,137048.01265033885,274096.0253006777,0.0,-1370480.1265033884,-1370480.1265033884,-1370480.1265033884,1,-1371853.3393612942,-1373.212857905566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0067996,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1017,20,4,5,2,31,13188.255933214608,-891753.3301152921,3017879.6253862204,10,-1115505.5329455012,39.66658123040543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,1,1,1,1,-1116105.5329455012,-560.3334187695946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,2,2,1,1,1,1,0.0189027999999999,20.8484765,67,0.001675,20.8673793,600.0,600.0,3,2,0.0,0,0,10.0,111554.51995267314,223109.0399053463,0.0,-1115545.1995267314,-1115545.1995267314,-1115545.1995267314,1,-1116105.5329455012,-560.3334187695946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0069141999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1018,20,4,5,2,31,18669.989867467277,-1396255.8643330974,4725354.439821743,10,-1745846.282382134,885.8398265416554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,2,1,1,1,1,-1746446.282382134,285.8398265416554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,2,2,1,1,1,1,0.0153233999999999,20.5234656,89,0.002225,20.538789,600.0,600.0,3,2,0.0,0,0,10.0,174673.2122208676,349346.4244417352,0.0,-1746732.122208676,-1746732.122208676,-1746732.122208676,1,-1746446.282382134,285.8398265416554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0065252,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1019,20,4,5,2,31,13025.79510346112,-1075870.4016399086,3640084.7454560734,10,-1344043.1464439358,1513.877965877563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,1,1,1,1,-1346291.172011115,-734.1476013014369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,2,2,1,1,1,1,0.0212093999999999,20.2071534,163,0.004075,20.2283628,2248.0255671788477,2248.025567179,3,2,0.0,0,0,10.0,134555.70244098132,269111.40488196263,0.0,-1345557.024409813,-1345557.024409813,-1345557.024409813,1,-1346291.172011115,-734.1476013014369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0071609,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1000,30,4,5,2,41,51620.57825403425,-2658256.275044865,7710111.676064162,11,-4429423.910022026,2632.3781194297853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,3,1,1,1,1,-4429923.910022026,2132.3781194297853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4,3,3,1,1,1,1,0.0292996,22.9168334,71,0.001775,22.946133000000003,500.0,500.0,4,3,0.0,0,0,10.0,221602.8144070728,443205.6288141456,0.0,-4432056.288141456,-4432056.288141456,-4432056.288141456,1,-4429923.910022026,2132.3781194297853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0127884,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1001,30,4,5,2,41,56965.16723431629,-2341015.5438054698,6788498.203800062,11,-3900008.7598213735,2274.1104594357093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,3,3,1,1,1,1,-3902088.00944241,194.86083839937191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,3,3,1,1,1,1,0.0241909,21.5167955,186,0.00465,21.5409864,2079.2496210364625,2079.249621036337,4,3,0.0,0,0,10.0,195114.14351404045,390228.2870280809,0.0,-3902282.870280809,-3902282.870280809,-3902282.870280809,1,-3902088.00944241,194.86083839937191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0091581,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1002,30,4,5,2,41,50528.0618977128,-1929428.8619097143,5688815.451198857,12,-3215822.306329354,504.8915981994794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,3,1,1,1,1,-3216401.0618987703,-73.86397121609821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,3,3,1,1,1,1,0.0285959,20.0182132,131,0.003275,20.0468091,578.7555694156326,578.7555694155776,5,3,0.0,0,0,10.0,160816.35989637772,321632.71979275544,0.0,-3216327.197927554,-3216327.197927554,-3216327.197927554,1,-3216622.306329354,-295.1084018005206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0260551,221.24443058436736,221.2444305844224,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1003,30,4,5,2,41,65689.78659501832,-2688804.353063919,7927314.12271137,12,-4478979.831226627,2935.3044614537857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,3,3,1,1,1,1,-4480670.149122939,1244.9865651421003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,3,3,1,1,1,1,0.0225878999999999,21.4242445,157,0.003925,21.4468324,1690.317896312103,1690.3178963116852,5,3,0.0,0,0,10.0,224095.75678440408,448191.51356880815,0.0,-4481915.135688081,-4481915.135688081,-4481915.135688081,1,-4480670.149122939,1244.9865651421003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0145881999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1004,30,4,5,2,41,66163.4883353754,-2782569.1223272546,8204197.153741394,12,-4636079.877874318,2364.3434903345847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,3,1,1,1,1,-4636879.877874318,1564.3434903345849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,3,3,1,1,1,1,0.0375733999999999,21.1423625,88,0.0022,21.1799359,800.0,800.0,5,3,0.0,0,0,10.0,231922.21106823263,463844.4221364653,0.0,-4638444.221364653,-4638444.221364653,-4638444.221364653,1,-4636879.877874318,1564.3434903345849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0110168999999999,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1005,30,4,5,2,41,23272.117828598264,-2741688.964799176,8083181.523481941,12,-4567876.152333327,2183.151228882789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,3,3,1,1,1,1,-4570389.840704489,-330.53714227923183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,3,3,1,1,1,1,0.0219344999999999,22.3076486,126,0.00315,22.3295831,2513.6883711619303,2513.6883711620208,5,3,0.0,0,0,10.0,228502.9651781105,457005.9303562209,0.0,-4570059.303562209,-4570059.303562209,-4570059.303562209,1,-4570389.840704489,-330.53714227923183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0178774,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1006,30,4,5,2,41,57010.75185660045,-2399286.968260893,6957934.092020195,11,-3997516.238022736,2168.571127569689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,3,3,1,1,1,1,-3999349.6994645246,335.10968578148504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,3,3,1,1,1,1,0.0311673999999999,20.1126029,111,0.002775,20.1437703,1833.4614417883568,1833.4614417882044,4,3,0.0,0,0,10.0,199984.2404575153,399968.4809150306,0.0,-3999684.8091503056,-3999684.8091503056,-3999684.8091503056,1,-3999349.6994645246,335.10968578148504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0077033,0.0,0.0,baseline,3600.0
baseline,,1.0,1,S1_cost_only,1007,30,4,5,2,41,39422.36812328557,-1852382.777451352,5461538.236442739,12,-3087427.13113795,417.1025146011914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,3,3,1,1,1,1,-3088187.467367619,-343.2337150675876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,3,3,1,1,1,1,0.0221122999999999,20.0357354,170,0.00425,20.0578477,760.3362296689302,760.336229668779,5,3,0.0,0,0,10.0,154392.21168262756,308784.4233652551,0.0,-3087844.2336525507,-3087844.2336525507,-3087844.2336525507,1,-3088334.878881067,-490.6452285162354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,OPTIMAL,0.0,0.0118448,147.4115134482272,147.41151344864784,baseline,3600.0
